NROBARRIO;BARRIO;CODBA;DESC_LINEA;COD_VARIAN;COD_LINEA;COD_SUBLIN;codvariantLineas;DESC_LINEA_1;DESC_SUBLI
32;MANGA TOLEDO CHICO;MT;175;1248;83;162;1248;175;CIUDADELA - LAS PIEDRAS
32;MANGA TOLEDO CHICO;MT;175;1248;83;162;1248;175;CIUDADELA - LAS PIEDRAS
32;MANGA TOLEDO CHICO;MT;175;1259;83;162;1259;175;CIUDADELA - LAS PIEDRAS
32;MANGA TOLEDO CHICO;MT;149;968;67;132;968;149;POCITOS - MANGA
32;MANGA TOLEDO CHICO;MT;158;1099;73;142;1099;158;CIUDAD VIEJA - MENDOZA
32;MANGA TOLEDO CHICO;MT;328;1707;131;236;1707;328;MENDOZA - PUNTA CARRETAS
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;396;2025;135;242;2025;396;INSTRUCCIONES - CIUDAD VIEJA
32;MANGA TOLEDO CHICO;MT;L28;2637;403;700;2637;L28;MENDOZA - ESTADIO
32;MANGA TOLEDO CHICO;MT;158;2816;73;723;2816;158;ADUANA - MENDOZA
32;MANGA TOLEDO CHICO;MT;396;3262;135;786;3262;396;INSTRUCCIONES - CIUDADELA
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;169;1162;78;151;1162;169;CIUDADELA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;169;2400;78;335;2400;169;CIUDAD VIEJA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;2845;78;726;2845;169;ADUANA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;1162;78;151;1162;169;CIUDADELA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;169;2400;78;335;2400;169;CIUDAD VIEJA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;2845;78;726;2845;169;ADUANA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;1162;78;151;1162;169;CIUDADELA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;169;2400;78;335;2400;169;CIUDAD VIEJA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;2845;78;726;2845;169;ADUANA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;1162;78;151;1162;169;CIUDADELA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;169;2400;78;335;2400;169;CIUDAD VIEJA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;2845;78;726;2845;169;ADUANA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;1162;78;151;1162;169;CIUDADELA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;169;2400;78;335;2400;169;CIUDAD VIEJA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;2845;78;726;2845;169;ADUANA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;1162;78;151;1162;169;CIUDADELA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;169;2400;78;335;2400;169;CIUDAD VIEJA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;2845;78;726;2845;169;ADUANA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;1162;78;151;1162;169;CIUDADELA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;169;2400;78;335;2400;169;CIUDAD VIEJA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;2845;78;726;2845;169;ADUANA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;1162;78;151;1162;169;CIUDADELA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;L13;1758;137;244;1758;L13;MENDOZA E INSTRUCC -TOLEDO
32;MANGA TOLEDO CHICO;MT;169;2400;78;335;2400;169;CIUDAD VIEJA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;2845;78;726;2845;169;ADUANA - TOLEDO CHICO
32;MANGA TOLEDO CHICO;MT;169;1167;78;151;1167;169;CIUDADELA - TOLEDO CHICO
